
step 0: train loss 4.2874, val loss 4.2823
[2023-10-18 12:45:36,879] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:37,358] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:38,453] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:38,751] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:39,204] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:39,502] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:39,937] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:40,232] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:40,681] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:40,980] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:41,442] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-10-18 12:45:41,935] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 830: loss 1.3939, time 111.67ms, mfu 3.12%
iter 840: loss 1.4056, time 113.37ms, mfu 3.13%
iter 850: loss 1.3911, time 112.31ms, mfu 3.15%
iter 860: loss 1.4010, time 115.34ms, mfu 3.16%
iter 870: loss 1.4061, time 112.47ms, mfu 3.18%
iter 880: loss 1.3758, time 115.12ms, mfu 3.18%
iter 890: loss 1.3920, time 113.98ms, mfu 3.19%
iter 900: loss 1.3728, time 112.85ms, mfu 3.20%
iter 910: loss 1.3245, time 112.56ms, mfu 3.21%
iter 920: loss 1.3671, time 113.25ms, mfu 3.22%
iter 930: loss 1.3670, time 115.41ms, mfu 3.22%
iter 940: loss 1.3524, time 112.89ms, mfu 3.23%
iter 950: loss 1.3538, time 112.36ms, mfu 3.24%
iter 960: loss 1.3668, time 111.90ms, mfu 3.25%
iter 970: loss 1.3636, time 111.71ms, mfu 3.26%
iter 980: loss 1.3566, time 113.08ms, mfu 3.26%
iter 990: loss 1.3400, time 114.57ms, mfu 3.26%
step 1000: train loss 1.2762, val loss 1.5256
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.3415, time 11916.01ms, mfu 2.94%
iter 1010: loss 1.3431, time 113.53ms, mfu 2.97%
iter 1020: loss 1.3133, time 112.77ms, mfu 3.00%
iter 1030: loss 1.3367, time 111.94ms, mfu 3.04%
iter 1040: loss 1.3645, time 115.24ms, mfu 3.06%
iter 1050: loss 1.2936, time 112.24ms, mfu 3.08%
iter 1060: loss 1.3426, time 114.42ms, mfu 3.10%
iter 1070: loss 1.3305, time 113.88ms, mfu 3.12%
iter 1080: loss 1.3386, time 111.12ms, mfu 3.14%
iter 1090: loss 1.3539, time 111.64ms, mfu 3.16%
iter 1100: loss 1.3168, time 113.51ms, mfu 3.17%
iter 1110: loss 1.3008, time 114.70ms, mfu 3.18%
iter 1120: loss 1.3026, time 112.00ms, mfu 3.20%
iter 1130: loss 1.3015, time 112.64ms, mfu 3.21%
iter 1140: loss 1.2992, time 112.35ms, mfu 3.22%
iter 1150: loss 1.3126, time 117.99ms, mfu 3.21%
iter 1160: loss 1.3269, time 117.63ms, mfu 3.21%
iter 1170: loss 1.3064, time 113.25ms, mfu 3.22%
iter 1180: loss 1.3226, time 115.38ms, mfu 3.22%
iter 1190: loss 1.2668, time 116.10ms, mfu 3.22%
iter 1200: loss 1.2964, time 113.81ms, mfu 3.22%
iter 1210: loss 1.2739, time 114.17ms, mfu 3.23%
iter 1220: loss 1.3009, time 111.49ms, mfu 3.24%
iter 1230: loss 1.2977, time 113.48ms, mfu 3.24%
iter 1240: loss 1.3042, time 116.08ms, mfu 3.24%
step 1250: train loss 1.2079, val loss 1.4969
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.2753, time 12061.90ms, mfu 2.92%
iter 1260: loss 1.2867, time 113.00ms, mfu 2.96%
iter 1270: loss 1.2715, time 113.44ms, mfu 2.99%
iter 1280: loss 1.2605, time 115.65ms, mfu 3.01%
iter 1290: loss 1.2806, time 112.44ms, mfu 3.04%
iter 1300: loss 1.2990, time 116.09ms, mfu 3.06%
iter 1310: loss 1.2402, time 114.98ms, mfu 3.08%
iter 1320: loss 1.3072, time 116.68ms, mfu 3.09%
iter 1330: loss 1.2705, time 115.60ms, mfu 3.10%
iter 1340: loss 1.2992, time 113.64ms, mfu 3.12%
iter 1350: loss 1.2529, time 114.54ms, mfu 3.13%
iter 1360: loss 1.2679, time 112.46ms, mfu 3.15%
iter 1370: loss 1.2591, time 117.78ms, mfu 3.15%
iter 1380: loss 1.2695, time 113.05ms, mfu 3.17%
iter 1390: loss 1.2550, time 121.87ms, mfu 3.16%
iter 1400: loss 1.2619, time 112.75ms, mfu 3.17%
iter 1410: loss 1.2513, time 116.46ms, mfu 3.17%
iter 1420: loss 1.2738, time 114.32ms, mfu 3.18%
iter 1430: loss 1.2424, time 113.72ms, mfu 3.19%
iter 1440: loss 1.2576, time 115.29ms, mfu 3.20%
iter 1450: loss 1.2388, time 112.23ms, mfu 3.21%
iter 1460: loss 1.2448, time 114.10ms, mfu 3.21%
iter 1470: loss 1.2223, time 114.24ms, mfu 3.22%
iter 1480: loss 1.2091, time 116.24ms, mfu 3.22%
iter 1490: loss 1.2391, time 115.62ms, mfu 3.22%
step 1500: train loss 1.1533, val loss 1.4693
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.1903, time 12104.45ms, mfu 2.90%
iter 1510: loss 1.2334, time 112.49ms, mfu 2.94%
iter 1520: loss 1.2242, time 114.68ms, mfu 2.97%
iter 1530: loss 1.2554, time 114.34ms, mfu 3.00%
iter 1540: loss 1.1952, time 114.23ms, mfu 3.03%
iter 1550: loss 1.2376, time 112.67ms, mfu 3.05%
iter 1560: loss 1.2124, time 115.27ms, mfu 3.07%
iter 1570: loss 1.2289, time 114.78ms, mfu 3.09%
iter 1580: loss 1.2126, time 111.89ms, mfu 3.11%
iter 1590: loss 1.1923, time 112.53ms, mfu 3.13%
iter 1600: loss 1.2019, time 115.35ms, mfu 3.14%
iter 1610: loss 1.2397, time 114.75ms, mfu 3.15%
iter 1620: loss 1.1842, time 113.46ms, mfu 3.17%
iter 1630: loss 1.2066, time 118.78ms, mfu 3.16%
iter 1640: loss 1.2057, time 118.32ms, mfu 3.16%
iter 1650: loss 1.1848, time 113.93ms, mfu 3.17%
iter 1660: loss 1.2201, time 114.13ms, mfu 3.18%
iter 1670: loss 1.2026, time 114.18ms, mfu 3.19%
iter 1680: loss 1.2037, time 111.45ms, mfu 3.21%
iter 1690: loss 1.2076, time 113.91ms, mfu 3.21%
iter 1700: loss 1.1913, time 112.59ms, mfu 3.22%
iter 1710: loss 1.1841, time 113.05ms, mfu 3.23%
iter 1720: loss 1.1854, time 114.96ms, mfu 3.23%
iter 1730: loss 1.1986, time 115.33ms, mfu 3.23%
iter 1740: loss 1.1763, time 115.66ms, mfu 3.23%
step 1750: train loss 1.1028, val loss 1.4603
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.1805, time 11970.19ms, mfu 2.91%
iter 1760: loss 1.1936, time 112.93ms, mfu 2.95%
iter 1770: loss 1.1979, time 112.68ms, mfu 2.98%
iter 1780: loss 1.1955, time 115.16ms, mfu 3.01%
iter 1790: loss 1.1912, time 115.40ms, mfu 3.03%
